block_id,block_name,district_id,district_name,latitude,longitude
block_053,block_name_053,district_053,district_name_053,1.00053,2.00053
block_054,block_name_054,district_054,district_name_054,1.00054,2.00054
block_055,block_name_055,district_055,district_name_055,1.00055,2.00055
block_056,block_name_056,district_056,district_name_056,1.00056,2.00056
block_057,block_name_057,district_057,district_name_057,1.00057,2.00057
block_058,block_name_058,district_058,district_name_058,1.00058,2.00058
block_059,block_name_059,district_059,district_name_059,1.00059,2.00059
block_060,block_name_060,district_060,district_name_060,1.0006,2.0006
block_061,block_name_061,district_061,district_name_061,1.00061,2.00061
block_062,block_name_062,district_062,district_name_062,1.00062,2.00062
block_063,block_name_063,district_063,district_name_063,1.00063,2.00063
block_064,block_name_064,district_064,district_name_064,1.00064,2.00064
block_065,block_name_065,district_065,district_name_065,1.00065,2.00065
block_066,block_name_066,district_066,district_name_066,1.00066,2.00066
block_067,block_name_067,district_067,district_name_067,1.00067,2.00067
block_068,block_name_068,district_068,district_name_068,1.00068,2.00068
block_069,block_name_069,district_069,district_name_069,1.00069,2.00069
block_070,block_name_070,district_070,district_name_070,1.0007,2.0007
block_071,block_name_071,district_071,district_name_071,1.00071,2.00071
block_072,block_name_072,district_072,district_name_072,1.00072,2.00072
block_073,block_name_073,district_073,district_name_073,1.00073,2.00073
block_074,block_name_074,district_074,district_name_074,1.00074,2.00074
block_075,block_name_075,district_075,district_name_075,1.00075,2.00075
block_076,block_name_076,district_076,district_name_076,1.00076,2.00076
block_077,block_name_077,district_077,district_name_077,1.00077,2.00077
block_078,block_name_078,district_078,district_name_078,1.00078,2.00078
block_079,block_name_079,district_079,district_name_079,1.00079,2.00079
block_080,block_name_080,district_080,district_name_080,1.0008,2.0008
block_081,block_name_081,district_081,district_name_081,1.00081,2.00081
block_082,block_name_082,district_082,district_name_082,1.00082,2.00082
block_083,block_name_083,district_083,district_name_083,1.00083,2.00083
block_084,block_name_084,district_084,district_name_084,1.00084,2.00084
block_085,block_name_085,district_085,district_name_085,1.00085,2.00085
block_086,block_name_086,district_086,district_name_086,1.00086,2.00086
block_087,block_name_087,district_087,district_name_087,1.00087,2.00087
block_088,block_name_088,district_088,district_name_088,1.00088,2.00088
block_089,block_name_089,district_089,district_name_089,1.00089,2.00089
block_090,block_name_090,district_090,district_name_090,1.0009,2.0009
block_091,block_name_091,district_091,district_name_091,1.00091,2.00091
block_092,block_name_092,district_092,district_name_092,1.00092,2.00092
block_093,block_name_093,district_093,district_name_093,1.00093,2.00093
block_094,block_name_094,district_094,district_name_094,1.00094,2.00094
block_095,block_name_095,district_095,district_name_095,1.00095,2.00095
block_096,block_name_096,district_096,district_name_096,1.00096,2.00096
block_097,block_name_097,district_097,district_name_097,1.00097,2.00097
block_098,block_name_098,district_098,district_name_098,1.00098,2.00098
block_099,block_name_099,district_099,district_name_099,1.00099,2.00099
block_100,block_name_100,district_100,district_name_100,1.001,2.001
